a,b,c,d,e,f,g,h,i
26617,35516,34162,10672,17804,13953,4353,3115,0
1139194,283720,42348,66968,38856,29332,8623,2244,1
2690430,147070,34955,42436,55577,52908,13782,7451,0
153668,117460,21271,8211,29178,11446,2515,6366,1
1613284,197893,8368,110056,30930,42664,27614,10514,0
428845,142488,41807,119695,74286,74269,11423,5588,1
79673,8073,11727,6101,1647,2639,767,3407,0
29568,36775,10133,35090,7385,8471,5028,1767,0
11874,11016,3791,12791,4464,3247,2463,1846,1
63230,26555,22727,28167,11160,13042,3053,3517,0
130462,108876,1715,2452,7907,4570,1072,519,1
73977,109300,16074,37986,21590,15433,4609,1879,0
447577,111353,9906,33296,41549,17363,3562,6216,1
500485,32467,26280,27920,19677,10887,5932,2280,1
38605,20167,7776,61708,7996,9444,8618,4248,0
1198306,43953,331,4578,11282,2634,2183,1603,1
1068623,148539,85258,39744,25138,14539,7722,2604,1
53163,22756,11949,3670,2899,4542,1381,840,1
227613,176327,23600,48826,19233,11123,3911,4488,0
669919,70685,26326,17019,36086,8170,2394,2289,1
327614,611534,19490,50618,56353,36441,4372,3317,1
130390,110441,38005,14385,14968,13491,4393,1426,1
109508,27032,27979,8402,9654,3633,2440,6085,0
22075,38338,10617,17103,7895,7986,3108,495,1
629130,76678,5433,48577,16560,13705,2556,4987,0
294915,52550,9691,46800,8711,4866,3747,1114,1
373108,110780,28052,41600,7045,12171,4235,3190,0
49753,24208,2050,14083,22430,5900,2819,2599,1
143619,174921,35387,3284,16846,2430,1647,1635,1
72786,20026,4777,8675,10384,8491,6596,4100,1
95790,62141,14674,21324,15523,6671,1519,2225,1
329088,24131,4970,22343,11246,8276,1869,1593,0
1675987,111923,115217,58035,39137,5396,4170,1816,0
15795,22999,28869,7008,4854,4796,1820,1657,1
72034,449658,125866,131277,18521,19752,5873,2842,0
752230,163981,10652,29150,19607,7656,2788,3166,1
548918,16050,378,6441,11840,4517,3009,579,1
1227188,52093,5455,1778,5138,1979,772,668,1
580492,173415,10954,85070,18244,12977,8233,3455,1
2443063,157704,82640,25331,41128,20142,20272,8980,1
137231,86021,19425,2630,9264,3107,2147,592,1
158198,5994,3201,2202,2464,709,497,149,1
652641,104527,28632,10024,21059,21165,6513,4898,1
65136,105703,39206,57299,21419,17037,4102,2062,0
99844,18255,13504,3901,5576,1579,844,769,1
1498462,410784,153039,73108,91877,25020,9749,1926,0
371178,129813,36127,17446,18534,8062,3161,1948,0
77414,51045,55766,15659,26727,17163,7617,3688,1
1275159,22110,64276,31462,13115,13474,2052,2354,1
52357,46034,14745,2606,5916,5882,2417,1119,1
879453,160354,43739,28731,16864,15563,10229,2490,0
51380,36206,4970,8904,7839,5726,4843,2247,1
1105397,171238,24691,20474,26875,34172,8183,6700,1
53484,23341,16496,47202,7546,5130,3474,1631,0
164096,29019,33068,11622,4322,20889,7332,1500,1
53908,34409,6941,12583,25045,8606,6058,3123,0
46561,21108,35711,113553,8960,17539,3414,7380,0
